zipcode,type,subtype,price,number_of_rooms,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
9140,APARTMENT,APARTMENT,179990,1,69,1,0,0,1,8,1,,,2,0,
9700,HOUSE,HOUSE,245000,3,151,1,0,0,1,,1,,178,3,0,
8300,APARTMENT,APARTMENT,795000,3,107,1,0,0,1,8,0,,,,0,GOOD
1410,HOUSE,EXCEPTIONAL_PROPERTY,1195000,3,220,1,0,1,1,50,1,700,1164,4,1,JUST_RENOVATED
6860,HOUSE,HOUSE,180000,2,112,0,0,0,0,,1,400,0,4,0,TO_BE_DONE_UP
2100,HOUSE,HOUSE,339000,3,160,1,0,0,0,,1,,180,,0,GOOD
9450,HOUSE,HOUSE,248000,2,160,1,0,0,0,,0,,107,3,0,AS_NEW
3660,HOUSE,MANSION,425000,5,472,1,0,0,1,,1,,1449,4,0,JUST_RENOVATED
9630,HOUSE,HOUSE,239000,4,174,1,0,0,1,,1,,492,3,0,TO_RENOVATE
8793,APARTMENT,APARTMENT,329000,2,126,1,0,0,1,13,0,,,4,0,AS_NEW
1745,HOUSE,TOWN_HOUSE,199000,3,215,1,0,0,0,,0,,80,2,0,GOOD
2845,HOUSE,HOUSE,420000,3,240,1,0,0,1,,1,235,355,2,0,JUST_RENOVATED
8980,APARTMENT,APARTMENT,186483,1,89,0,0,0,1,8,0,,,,0,
1050,APARTMENT,APARTMENT,2500000,4,277,1,0,1,1,87,0,,,2,0,JUST_RENOVATED
9750,HOUSE,MIXED_USE_BUILDING,535000,5,463,1,0,0,1,,1,,991,,0,AS_NEW
5100,HOUSE,APARTMENT_BLOCK,655000,4,425,1,0,0,0,,1,,2320,4,0,GOOD
1150,APARTMENT,APARTMENT,735000,3,195,1,0,0,1,20,0,,,3,0,AS_NEW
4400,HOUSE,HOUSE,299000,3,152,1,0,1,1,74,1,3014,3014,4,0,GOOD
1150,APARTMENT,TRIPLEX,1395000,4,285,1,0,0,1,68,0,,,2,0,AS_NEW
4020,HOUSE,HOUSE,225000,2,102,0,0,0,0,,0,,53,2,0,
4020,APARTMENT,LOFT,210000,1,135,1,0,0,0,,0,,,3,0,AS_NEW
1495,HOUSE,HOUSE,175000,2,106,1,0,1,1,,0,,627,3,0,TO_RENOVATE
4990,HOUSE,HOUSE,135000,3,124,0,0,0,1,,0,,203,3,0,TO_BE_DONE_UP
1040,APARTMENT,APARTMENT,215000,2,100,1,0,0,0,,0,,,2,0,TO_RENOVATE
8670,APARTMENT,FLAT_STUDIO,65000,1,,1,0,0,0,,0,,,2,0,TO_BE_DONE_UP
8400,APARTMENT,APARTMENT,139000,1,37,1,1,0,1,3,0,,,,0,AS_NEW
3010,HOUSE,TOWN_HOUSE,440000,4,200,1,0,0,1,27,1,52,210,2,0,JUST_RENOVATED
9230,APARTMENT,APARTMENT,175000,2,112,1,0,0,0,,0,,,2,0,GOOD
3670,APARTMENT,APARTMENT,160371,1,59,0,0,0,1,,0,,,,0,
2800,HOUSE,HOUSE,580953,4,197,1,0,0,1,14,1,204,330,,0,
9060,APARTMENT,APARTMENT,119000,2,70,1,0,0,0,,0,,,2,0,TO_BE_DONE_UP
1800,HOUSE,HOUSE,230000,3,,0,0,0,0,,0,,210,2,0,
1070,APARTMENT,APARTMENT,199000,2,75,1,0,0,1,,0,,,,0,AS_NEW
8610,HOUSE,HOUSE,469000,3,190,1,0,0,1,70,0,,770,,0,GOOD
1150,HOUSE,TOWN_HOUSE,569000,3,150,0,0,0,0,,0,,141,2,0,GOOD
8500,HOUSE,HOUSE,475000,4,320,1,0,0,1,,0,,307,,0,GOOD
4000,APARTMENT,DUPLEX,249000,3,130,1,0,0,1,23,0,,,2,0,AS_NEW
2870,HOUSE,HOUSE,1145000,7,670,1,0,1,1,,1,,17441,4,0,GOOD
7850,APARTMENT,APARTMENT,186000,3,94,1,0,0,1,12,0,,,3,0,
3120,HOUSE,MIXED_USE_BUILDING,345000,3,361,0,0,0,1,,0,,410,3,0,
8791,HOUSE,HOUSE,269000,4,192,1,0,0,0,,0,,152,2,0,AS_NEW
9000,HOUSE,HOUSE,439000,3,138,0,0,0,0,,0,,102,,0,AS_NEW
1180,HOUSE,HOUSE,2190000,4,312,1,0,0,1,100,0,,1400,4,0,AS_NEW
9000,APARTMENT,PENTHOUSE,557155,3,132,1,0,0,1,15,0,,,,0,AS_NEW
5520,APARTMENT,APARTMENT,1595000,2,462,0,0,0,1,,0,,,,0,AS_NEW
4500,HOUSE,HOUSE,165000,2,126,1,0,0,1,10,1,60,495,2,0,AS_NEW
8790,HOUSE,HOUSE,361200,3,160,0,0,0,0,,0,,442,3,0,
1000,APARTMENT,APARTMENT,336000,2,95,1,0,0,1,9,0,,,,0,AS_NEW
2000,APARTMENT,APARTMENT,350000,2,97,1,0,0,0,,0,,,2,0,JUST_RENOVATED
1000,APARTMENT,APARTMENT,247500,2,70,1,1,0,1,2,0,,,3,0,
4430,APARTMENT,APARTMENT,202500,2,99,1,0,0,1,8,0,,,,0,
2300,HOUSE,HOUSE,229000,3,,1,0,0,1,18,1,48,202,2,0,GOOD
1200,APARTMENT,FLAT_STUDIO,165000,0,44,1,0,0,1,7,0,,,2,0,TO_RENOVATE
1020,HOUSE,HOUSE,539000,6,390,1,1,0,1,30,1,346,386,2,0,TO_RENOVATE
4140,HOUSE,HOUSE,265000,4,153,1,0,0,1,,0,,585,3,0,TO_BE_DONE_UP
2500,HOUSE,VILLA,1995000,4,391,0,0,1,1,,0,,18510,4,1,AS_NEW
8300,APARTMENT,SERVICE_FLAT,525000,1,77,1,0,0,1,7,0,,,2,0,AS_NEW
1370,APARTMENT,APARTMENT,225000,2,79,1,0,0,1,11,1,44,,2,0,
2000,HOUSE,HOUSE,725000,3,225,1,0,0,1,25,0,,0,2,0,GOOD
8570,APARTMENT,APARTMENT,195000,1,62,1,0,0,1,36,0,,,,0,
2930,APARTMENT,APARTMENT,379000,2,100,1,0,0,1,,1,,,,0,AS_NEW
1970,HOUSE,HOUSE,409000,2,112,1,0,0,1,,1,278,370,3,0,TO_BE_DONE_UP
8450,APARTMENT,APARTMENT,139500,2,55,1,1,0,0,,0,,,,0,AS_NEW
8530,APARTMENT,APARTMENT,399000,2,105,1,0,0,1,,0,,,,0,AS_NEW
1180,APARTMENT,APARTMENT,580000,2,100,1,0,0,1,17,0,,,,0,AS_NEW
6700,HOUSE,HOUSE,360000,4,203,1,0,0,1,78,1,161,270,2,0,
1600,HOUSE,HOUSE,,5,244,1,0,0,0,,1,73,153,2,0,TO_RENOVATE
1861,HOUSE,COUNTRY_COTTAGE,925000,6,270,1,0,0,1,,1,,18290,4,0,TO_BE_DONE_UP
4040,HOUSE,HOUSE,170000,2,105,0,0,0,1,23,1,80,160,2,0,GOOD
9800,APARTMENT,PENTHOUSE,670000,3,146,0,0,0,1,69,0,,,2,0,
9940,HOUSE,HOUSE,425000,3,165,1,0,0,1,33,1,481,756,4,0,
4000,HOUSE,HOUSE,235000,4,160,1,0,0,1,30,1,60,415,2,0,TO_RENOVATE
